ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Iloko;Indonesian;Italian;Japanese;Korean;Netherlands;Norwege;Polish;Portugese;Spanish;Swedish;Tagalog
1200004196;Sow;;;SVINĚ;SO II;Sau;;;Truie;TAKONG;;Scrofa;;;ZEUG;PURKE;MACIORA;Porca;;SUGGA;BABAING BABOY
1200004198;Spain;西班牙;西班牙;ŠPANĚLSKO;SPANIEN;Spanien;ΙΣΠΑΝΙΑ;Espanja;Espagne;ESPANIA;SPANYOL;Spagna;スペイン;스페인;SPANJE;SPANIA;HISZPANIA;Espanha;ESPAÑA;SPANIEN;ESPANYA
1200004199;Span;拃;拃;PÍĎ;FINGERSPAND;Spanne;ΣΠΙΘΑΜΗ;Vaaksa;Empan;DANGAN;JENGKAL;Spanna;手尺;뼘;SPAN;FINGERSPANN;PIĘDŹ;Palmo;PALMO;FINGERSPANN;DANGKAL
1200004200;Sparrow;麻雀;麻雀;VRABEC;SPURV;Sperling;ΣΠΟΥΡΓΙΤΙ;Varpunen;Moineau;BILLIT-TULENG;PIPIT;Passero;すずめ;참새;MUS;SPURV;WRÓBEL;Pardal;GORRIÓN;SPARV;MAYA
1200004201;Spear;矛;矛;;SPYD;Speer;ΔΟΡΥ;Keihäs;Lance;PIKA;;;槍;장창;SPEER;SPYD;WŁÓCZNIA;;LANZA;SPJUT;
1200004203;Speech;;;ŘEČ;;Reden;ΛΟΓΙΑ;Puhe;;PANAGSAO;;;;;GEPRAAT;;;Fala, palavra;;SKVALLER;PANANALITA
1200004204;Spell;;;ZAKLÍNADLO;;;ΜΑΓΙΚΕΣ ΡΗΣΕΙΣ;;Sortilège;PAGILABEG;JAMPI;Malia;まじない;;BANSPREUK;TRYLLEFORMULAR;;Feitiço;MALEFICIO;TROLLFORMEL;ENGKANTO
1200004205;Spelt;粗麦;粗麥;ŠPALDA;SPELT;Spelt;ΑΓΡΙΟΣΙΤΑΡΟ;Spelttivehnä;Épeautre;ESPELTA;SPELTA;Spelta;スペルト小麦;개밀;SPELT;SPELT;ORKISZ;Espelta;ESPELTA;SPELT;ESPELTA
1200004206;Spice;香料;香料;KOŘENÍ;KRYDDERBLANDING;Gewürz;ΜΥΡΩΔΙΚΑ;Mauste, tuoksuyrtti;Aromates;ESPECIA, REKADO;REMPAH;Aromi, Spezie;香料;향료;SPECERIJ;KRYDDERIER;WONNE KORZENIE;Especiaria;ESPECIA;KRYDDOR;ESPESYA
1200004207;Spider;蜘蛛;蜘蛛;PAVOUK;EDDERKOP;Spinne;ΑΡΑΧΝΗ;Hämähäkki;Araignée;LAWWALAWWA;LABAH-LABAH;Ragno;くも;거미;SPIN;EDDERKOPP;PAJĄK;Aranha;ARAÑA;SPINDEL;GAGAMBA
1200004209;Spikenard;甘松香;甘松香;NARD;NARDUS;Narde;ΝΑΡΔΟ(Σ);Nardus;Nard;NARDO;SERAI WANGI, TANAMAN;Spigonardo;甘松;감송;NARDUS;NARDUS;SZPIKANARD;Nardo;NARDO;NARDUS;NARDO
1200004210;Spinning;纺纱;紡紗;PŘEDENÍ;SPINDING;Spinnen;ΚΛΩΣΗ;Kehrääminen;Filage;PANAGTIBBI;PINTAL, MEMINTAL;Filatura;糸紡ぎ;실잣기;SPINNEN;SPINNING;PRZĘDZENIE;Fiação;HILAR;SPINNING;PAG-IIKID
1200004211;Spirit;灵体，圣灵，生命力，精神;靈體，聖靈，生命力，精神;DUCH;ÅND;Geist;ΠΝΕΥΜΑ;Henki;Esprit;ESPIRITU;ROH;Spirito;霊;영;GEEST (I);ÅND;DUCH;Espírito;ESPÍRITU;ANDE;ESPIRITU
1200004212;Spiritism;通灵术;通靈術;SPIRITISMUS;SPIRITISME;Spiritismus;ΠΝΕΥΜΑΤΙΣΜΟΣ;Spiritismi;Spiritisme;ESPIRITISMO;SPIRITISME;Spiritismo;心霊術;영매술;SPIRITISME;SPIRITISME;SPIRYTYZM;Espiritismo;ESPIRITISMO;SPIRITISM;ESPIRITISMO
1200004213;Spit;吐唾沫;吐唾沫;PLIVNUTÍ;SPYT, SPYTTEN;Speichel, speien;ΦΤΥΣΙΜΟ;Sylki;Crachat;TUPRA;LUDAH, MELUDAH;Sputare;つば，つばを吐きかける;침, 침 뱉음;SPUWEN;SPYTT;PLUNIĘCIE;Saliva (cuspida, escarro);ESCUPIR;SPOTTA;DURA,
1200004214;Spoil;战利品;戰利品;KOŘIST;BYTTE;Beute;ΛΑΦΥΡΑ;Saalis;Butin;SAMSAM;JARAHAN;Spoglie;分捕り物;전리품;BUIT;BYTTE;ŁUP;Despojo;DESPOJO;BYTE;SAMSAM
1200004215;Sponge;海绵;海綿;HOUBA;SVAMP;Schwamm;ΣΦΟΥΓΓΑΡΙ;Sieni;Éponge;ESPONGHA;BUNGA KARANG;Spugna;海綿;해면;SPONS;SVAMP;GĄBKA;Esponja;ESPONJA;SVAMP (SVAMPDJUR);ESPONGHA
1200004216;Spring;泉;泉;ZŘÍDLO;;;;;;;SUMBER AIR;Sorgente;;;;;;Manancial;MANANTIAL;;
1200004217;Sprout;新芽;新芽;VÝHONEK;SKUD;Sproß;ΒΛΑΣΤΟΣ;Vesa;Germe;TARUBONG;TUNAS;Germoglio;新芽;싹;SPRUIT;SPIRE;LATOROŚL;Renovo;BROTE;SKOTT;SIBOL
1200004218;Stachys;士大古;士大古;STACHYS;STAKYS;Stachys;ΣΤΑΧΥΣ;Stakys;Stakys;ESTAQUIS;STAKHIS;Stachi;スタキス;스다구;STACHYS;STAKYS;STACHYS;Estáquis;ESTAQUIS;STAKYS;ESTAQUIS
1200004219;Stacte;纳坦香脂;納坦香脂;MYRHOVÁ PRYSKYŘICE;STAKTEDRÅBER;Stakte;ΣΤΑΚΤΗ;Hajupihka;Stacté;ESTAKTE;RASAMALA;Stacte;スタクテ;소합향;STACTE;STAKTE;STAKTE;Estoraque, Gotas de;ESTACTE;STAKTEDROPPAR;ESTACTE
1200004220;Staff;棒;棒;PRUT;STAV;Stab;ΜΠΑΣΤΟΥΝΙ;Sauva;Baguette;SARUKOD;;;杖;막대기;;;PRĘT;Bastão;;KÄPP;
1200004221;Stag;鹿;鹿;JELEN;HJORT;Hirsch;ΕΛΑΦΙ;Jalohirvi;Cerf;UGSA, KALAKIAN NGA;RUSA JANTAN;Cervo;雄鹿;사슴;HERT;HJORT;JELEŃ;Veado;CIERVO;HJORT;USA, LALAKING
1200004222;Stake;木柱;木柱;KŮL;PÆL;Pfahl;ΠΑΣΣΑΛΟΣ;Paalu;;;TIANG;;杭;;PAAL;PÆL;;Madeiro;;PÅLE;TULOS
1200004223;Stall;;;STÁNÍ;STALD;;ΠΑΧΝΙ;Pilttuu;Étable;KUADRA;;Stalla;畜舎;축사;STAL;FJØS;STAJNIA;Baia;;;KUWADRA
1200004224;Star;星;星;HVĚZDA;STJERNE;Stern;ΑΣΤΡΟ;Tähti;Étoile;BITUEN;BINTANG;Stella;星;별;STER;STJERNE;GWIAZDA;Estrela;ESTRELLA;STJÄRNA;BITUIN
1200004225;Stater;斯他提;斯他提;STATER;STATÉR;Stater;ΣΤΑΤΗΡΑΣ;Stateeri;Statère;ESTATER;STATER;Statere;スタテル;스타테르;STATER;STATER;STATER;Estáter;ESTATER;STATÄR;ESTATER
1200004226;Statute;律例;律例;USTANOVENÍ;FORSKRIFT, FORORDNING;Satzung;ΝΟΜΟΘΕΤΗΜΑ;Säädös;Ordonnance;PAGLINTEGAN;KETETAPAN;Statuto;法令;법규;INZETTING;FORSKRIFT;USTAWA;Estatuto;ESTATUTO;STADGA;BATAS
1200004228;Stealing;偷窃;偷竊;KRÁDEŽ;;Stehlen;ΚΛΟΠΗ;;;PANAGTAKAW;CURI, MENCURI;Rubare;盗み;도둑질;STELEN;;KRADZIEŻ;Furto;HURTAR;STÖLD;PAGNANAKAW
1200004230;Stephen;司提反;司提反;ŠTĚPÁN;STEFANUS;Stephanus;ΣΤΕΦΑΝΟΣ;Stefanos;Étienne;ESTEBAN;STEFANUS;Stefano;ステファノ;스데반;STEFANUS;STEFANUS;SZCZEPAN;Estêvão;ESTEBAN;STEFANUS;ESTEBAN
1200004231;Steward;管家;管家;SPRÁVCE;HUSHOLDER;Verwalter;ΟΙΚΟΝΟΜΟΣ;Taloudenhoitaja;Intendant;MAYORDOMO;PENGURUS;Economo;家令;관리인;BEHEERDER;FORVALTER;SZAFARZ;Mordomo;MAYORDOMO;FÖRVALTARE;KATIWALA
1200004232;Stocks;足枷，枷;足枷，枷;KLÁDA;BLOK;Stock;ΞΥΛΙΝΑ ΔΕΣΜΑ;Jalkapuu;Ceps;TUL-ONG;PASUNG;Ceppi;足かせ台;차꼬;BLOK;BLOKKEN;DYBY;Tronco;CEPO;STOCK;PANGAWAN, MGA
1200004234;Stomach;胃;胃;ŽALUDEK;MAVE;Magen;ΣΤΟΜΑΧΙ;;Estomac;RUSOK;LAMBUNG;Stomaco;胃;위(胃);MAAG;;ŻOŁĄDEK;Estômago;ESTÓMAGO;;
1200004235;Stone;石头;石頭;KÁMEN;STEN;Stein;ΠΕΤΡΑ;Kivi;Pierre, II;;BATU;Pietra;石;돌, II;STEEN;STEIN;KAMIEŃ;Pedra;PIEDRA;STEN;BATO, I
1200004236;Stonecutter;石匠;石匠;KAMENÍK;STENHUGGER;Steinhauer;ΛΙΘΟΚΟΠΟΣ;Kivenhakkaaja;Tailleur de pierre;AGTAGTAGA ITI BATO;PEMOTONG BATU;Tagliapietre;石切り工;석공;STEENHOUWER;STEINHOGGER;KAMIENIARZ;Pedra, Talhador de;CANTERO;STENHUGGARE;TAGATIBAG NG BATO
