1200001015;Compass;artifact;
1200001016;Compassion;feeling;
1200001017;Compensation;possession;
1200001020;Concubine;person;
1200001021;Congregation;group;
1200001023;Conjurer;person;
1200001024;Conscience;motive;
1200001025;Constable;person;
1200001026;Contribution;act;
1200001027;Convention;group;
1200001028;Conversion;event;
1200001032;Copyist;person;
1200001034;Coral;attribute;
1200001037;Coriander Seed;food;
1200001038;Corinth;location;name
1200001040;Cormorant;animal;
1200001043;Cornerstone;cognition;
1200001044;Cos;relation;
1200001047;Cotton;substance;
1200001049;Courage;attribute;
1200001050;Courier;person;
1200001053;Cousin;person;
1200001054;Covenant;communication;
1200001055;Covetousness;feeling;
1200001056;Cow;animal;
1200001059;Craftsman;person;
1200001060;Crag;object;
1200001061;Creation;act;
1200001072;Cricket;animal;
1200001074;Crimson;attribute;
1200001076;Crocodile;animal;
1200001077;Cross;artifact;
1200001078;Crown;communication;name
1200001079;Crystal;substance;
1200001080;Cubit;quantity;
1200001081;Cuckoo;person;
1200001082;Cucumber;plant;
1200001083;Cud;food;
1200001084;Cumin;plant;
1200001086;Cup;quantity;
1200001087;Cupbearer;person;
1200001088;Curse;communication;
1200001094;Custody;state;
1200001096;Cutting Off;act;
1200001099;Cypress;plant;
1200001100;Cyprus;location;name
1200001102;Cyrus;person;name
1200001105;Dagger;artifact;
1200001107;Dagon;person;name
1200001108;Daleth;communication;
1200001110;Dalmatia;location;name
1200001114;Damascus;location;name
1200001116;Dancing;act;
1200001117;Daniel;person;name
1200001126;Date;time;
1200001128;Daughter;person;
1200001129;Daughter-in-law;person;
1200001130;David;person;name
1200001132;Day;time;
1200001134;Dead Sea;object;name
1200001135;Deafness;state;
1200001136;Death;event;
1200001140;Decalogue;communication;name
1200001144;Dedication;attribute;
1200001145;Deed;act;
1200001146;Defect;state;
1200001149;Delilah;person;name
1200001150;Deluge;quantity;
1200001152;Demetrius;person;name
1200001153;Demon;person;
1200001157;Deputy;person;
1200001159;Desert;location;
1200001160;Destruction;act;
1200001163;Deuteronomy;communication;name
1200001164;Devil;person;name
1200001166;Devotion;feeling;
1200001167;Dew;substance;
1200001168;Diadem;artifact;
1200001169;Diamond;possession;
1200001178;Dill;plant;
1200001184;Dionysius;person;name
1200001187;Dirge;communication;
1200001189;Disciple;person;
1200001190;Discipline;cognition;
1200001196;Distaff;state;
1200001197;District;location;
1200001199;Divan;artifact;
1200001200;Divination;communication;
1200001201;Divine;person;name
1200001202;Divorce;act;
1200001207;Dodo;person;
1200001209;Dog;animal;
1200001210;Doorkeeper;person;
1200001211;Doorway;artifact;
1200001216;Dove;animal;
1200001218;Drachma;quantity;
1200001219;Dragnet;group;
1200001220;Dragon;person;
1200001221;Dread;feeling;
1200001222;Dream;cognition;
1200001223;Dregs;object;
1200001224;Dress;artifact;
1200001226;Drunkenness;state;
1200001228;Duke;person;
1200001230;Dung;substance;
1200001231;Dungeon;artifact;
1200001232;Dura;body;
1200001233;Dust;substance;
1200001235;Eagle;animal;
1200001236;Ear;body;
1200001237;Eardrop;artifact;
1200001238;Earring;artifact;
1200001239;Earth;object;name
1200001240;Earthquake;event;
1200001241;East;relation;
1200001252;Ebony;attribute;
1200001255;Ecclesiastes;communication;name
1200001256;Eden;location;name
1200001260;Education;act;
1200001271;El;relation;
1200001272;Ela;group;
1200001274;Elam;location;name
1200001282;Elder;person;
1200001288;Electrum;substance;
1200001307;Elijah;person;name
1200001323;Elizabeth;person;name
1200001343;Elul;time;name
1200001349;Embroidery;communication;
1200001351;Emerald;substance;
1200001358;End;location;
1200001360;Endurance;attribute;
1200001362;Enemy;group;
1200001363;Engagement;act;
1200001366;Engraving;artifact;
1200001377;Envy;feeling;
1200001387;Ephesus;location;name
1200001410;Epilepsy;state;
1200001411;Er;substance;
1200001417;Esau;person;name
1200001430;Esther;person;name
1200001437;Ether;artifact;
1200001438;Ethiopia;location;name
1200001444;Eunuch;person;
1200001446;Euphrates;object;name
1200001450;Eve;person;name
1200001452;Evil;act;
1200001455;Execration;feeling;
1200001457;Exile;person;
1200001458;Exodus;act;
1200001460;Exorcism;cognition;
1200001461;Expanse;attribute;
1200001462;Expelling;process;
1200001464;Extortion;possession;
1200001465;Eye;body;
1200001469;Ezekiel;person;name
1200001475;Ezra;person;name
1200001480;Fable;communication;
1200001481;Fabric;artifact;
1200001482;Face;body;
1200001484;Faith;cognition;
1200001486;Falcon;animal;
1200001488;Family;group;
1200001489;Famine;state;
1200001490;Farming;act;
1200001492;Fast;act;
1200001493;Fat;substance;
1200001494;Father;person;
1200001495;Father-in-law;person;
1200001498;Fathom;quantity;
1200001500;Fear;feeling;
1200001501;Feast;group;
1200001503;Ferment;state;
1200001504;Festival;time;
1200001514;Fever;state;
1200001515;Field;location;
1200001518;Fig;communication;
1200001521;Finger;body;
1200001522;Fingerbreadth;quantity;
1200001523;Fire;event;
1200001527;Fish;animal;
1200001529;Fishing;act;
1200001530;Flattery;communication;
1200001531;Flax;substance;
1200001532;Flea;animal;
1200001533;Flesh;body;
1200001534;Flint;substance;
1200001535;Flogging;act;
1200001536;Flood;phenomenon;
1200001537;Flour;food;
1200001538;Flute;artifact;
1200001539;Fly;animal;
1200001541;Food;Food;
1200001543;Fool;person;
1200001544;Foot;quantity;
1200001545;Footstool;artifact;
1200001547;Forehead;body;
1200001548;Foreigner;person;
1200001550;Forerunner;relation;
1200001551;Foreskin;body;
1200001552;Forest;group;
1200001554;Forgiveness;feeling;
1200001555;Fornication;act;
1200001558;Foundation;relation;
1200001562;Four;quantity;
1200001563;Fowl;animal;
1200001564;Fox;animal;
1200001565;Frankincense;substance;
1200001566;Fraud;act;
1200001568;Freedom;state;
1200001570;Friend;person;
1200001571;Frog;animal;
1200001573;Fuel;substance;
1200001575;Funeral;event;
1200001576;Furlong;quantity;
1200001577;Furnace;artifact;
1200001582;Gabriel;person;name
1200001583;Gad;state;
1200001585;Gaddi;artifact;
1200001587;Gadfly;person;
1200001592;Gaius;person;name
1200001594;Galatia;location;name
1200001596;Galbanum;substance;
1200001598;Galilee;location;name
1200001600;Gall;state;
1200001601;Galley;artifact;
1200001607;Gangrene;state;
1200001608;Garden;artifact;
1200001610;Garland;person;name
1200001611;Garlic;plant;
1200001612;Garment;artifact;
1200001614;Garner;artifact;
1200001615;Garrison;artifact;
1200001618;Gatekeeper;person;
1200001622;Gaza;location;name
1200001623;Gazelle;animal;
1200001631;Gecko;animal;
1200001642;Gehenna;cognition;name
1200001646;Genealogy;group;
1200001648;Generation;group;
1200001649;Generosity;attribute;
1200001654;Gentleness;attribute;
1200001675;Giant;animal;
1200001705;Gimel;communication;
1200001710;Girdle;body;
1200001718;Glass;substance;
1200001721;Glory;state;
1200001722;Glutton;person;
1200001723;Gnat;animal;
1200001724;Goad;artifact;
1200001726;Goat;animal;
1200001728;Gob;person;
1200001729;God;person;name
1200001736;Golan;location;name
1200001737;Gold;possession;
1200001738;Golgotha;location;name
1200001739;Goliath;person;name
1200001741;Gomorrah;location;name
1200001742;Goodness;attribute;
1200001744;Goodwill;possession;
1200001747;Gourd;artifact;
1200001748;Government;group;
1200001749;Governor;person;
1200001752;Grafting;act;
1200001754;Granary;artifact;
1200001756;Grape;food;
1200001757;Grass;plant;
1200001758;Grasshopper;animal;
1200001759;Grave;time;
1200001760;Gravel;substance;
1200001766;Greed;attribute;
1200001767;Greek;communication;name
1200001769;Green;attribute;
1200001770;Greens;food;
1200001771;Greeting;communication;
1200001772;Greyhound;animal;
1200001773;Grief;feeling;
1200001774;Ground;object;
1200001775;Guard;person;
1200001778;Guest;person;
1200001779;Guilt;state;
1200001781;Gull;person;
1200001785;Gur;communication;name
1200001789;Habakkuk;person;name
1200001803;Hades;person;name
1200001812;Haggai;person;name
1200001820;Hail;phenomenon;
1200001821;Hair;body;
1200001829;Hallel;communication;name
1200001830;Hallelujah;communication;
1200001832;Ham;food;
1200001833;Haman;person;name
1200001838;Hammer;artifact;
1200001846;Hamstring;body;
1200001854;Hand;body;
1200001855;Handbreadth;quantity;
1200001858;Handshake;communication;
1200001860;Hanging;artifact;
1200001868;Happiness;state;
1200001875;Hare;animal;
1200001883;Harlot;person;
1200001892;Harp;artifact;
1200001893;Harpoon;artifact;
1200001898;Harvest;plant;
1200001912;Hate;feeling;
1200001919;Haughtiness;attribute;
1200001941;Head;body;
1200001942;Headband;artifact;
1200001943;Head Covering;artifact;
1200001944;Headdress;artifact;
1200001945;Headship;act;
1200001946;Healing;process;
1200001947;Hearing;act;
1200001948;Heart;cognition;
1200001949;Heaven;location;name
1200001958;Hedge;artifact;
1200001959;Heel;artifact;
1200001961;Heifer;animal;
1200001962;Heir;person;
1200001978;Hell;location;
1200001979;Helmet;artifact;
1200001988;Henna;substance;
1200001992;Herald;person;
1200001997;Hermes;person;name
1200002000;Herod;person;name
1200002004;Heron;person;name
1200002008;Heshvan;time;name
1200002009;Heth;communication;
1200002011;Hezekiah;person;name
1200002023;High Priest;person;
1200002027;Hill;object;
1200002028;Hillel;person;name
1200002029;Hin;quantity;
1200002030;Hind;animal;
1200002032;Hippopotamus;animal;
1200002044;Hoarfrost;substance;
1200002047;Hod;artifact;
1200002052;Hoe;artifact;
1200002055;Holiness;attribute;
1200002058;Holy of Holies;attribute;
1200002060;Holy Place;location;
1200002061;Holy Spirit;person;name
1200002063;Homer;act;
1200002065;Honor;communication;
1200002066;Hook;artifact;
1200002067;Hoopoe;animal;
1200002068;Hope;feeling;
1200002080;Horn;artifact;
1200002083;Horse;animal;
1200002086;Hosea;person;name
1200002091;Hospitality;communication;
1200002094;Hour;time;
1200002095;House;artifact;
1200002102;Humility;attribute;
1200002112;Husband;person;
1200002118;Hyacinth;substance;
1200002121;Hypocrite;person;
1200002122;Hyssop;plant;
1200002130;Ice;substance;
1200002146;Illegitimate;person;
1200002149;Image;cognition;
1200002154;Immersion;event;
1200002155;Immortality;attribute;
1200002159;Impalement;act;
1200002160;Impartiality;cognition;
1200002163;Inauguration;act;
1200002164;Incense;substance;
1200002166;Incest;act;
1200002167;Incorruption;attribute;
1200002168;India;location;name
1200002169;Industriousness;attribute;
1200002171;Inheritance;act;
1200002172;Ink;substance;
1200002174;Inn;artifact;
1200002176;Insight;cognition;
1200002178;Inspiration;cognition;
1200002179;Installation;act;
1200002180;Instruction;communication;
1200002181;Instrument;artifact;
1200002182;Integrity;state;
1200002183;Interest;cognition;
1200002184;Interpretation;cognition;
1200002185;Interpreter;person;
1200002187;Intoxication;state;
1200002192;Ir;substance;
1200002193;Ira;group;name
1200002199;Iron;substance;
1200002203;Isaac;person;name
1200002204;Isaiah;person;name
1200002215;Ishmael;person;name
1200002227;Israel;location;name
1200002228;Israelite;person;name
1200002230;Issachar;person;name
1200002234;Italy;location;name
1200002247;Ivory;substance;
1200002278;Jackal;animal;
1200002279;Jacob;person;name
1200002284;Jade;substance;
1200002303;Jail;artifact;
1200002304;Jailer;person;
1200002313;James;person;name
1200002323;Japheth;person;name
1200002327;Jar;artifact;
1200002340;Jason;person;name
1200002341;Jasper;substance;
1200002344;Javan;person;name
1200002345;Javelin;event;
1200002391;Jehovah;person;name
1200002418;Jerboa;animal;
1200002421;Jeremiah;person;name
1200002426;Jericho;location;name
1200002431;Jeroboam;person;name
1200002436;Jerusalem;location;name
1200002450;Jesus;person;name
1200002451;Jesus Christ;person;name
1200002460;Jewelry;artifact;
1200002463;Jezebel;person;name
1200002475;Job;act;
1200002481;Joel;person;name
1200002489;John;artifact;
1200002503;Jonah;person;name
1200002506;Jonathan;food;name
1200002507;Joppa;location;name
1200002511;Jordan;object;name
1200002515;Joseph;person;name
